ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2021-09-17T06:24:36Z,txarhapocwncdtuoq8fj5cyq0,web_player windows 10;chrome 93.0.4577.63;desktop,1193,AE,2001:8f8:1623:f63:898a:c6f5:de73:14dd,"Mozilla%2F5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F93.0.4577.63%20Safari%2F537.36",Save Your Tears (with Ariana Grande) (Remix),The Weeknd,Save Your Tears,spotify:track:37BZB0z9T8Xu7U3e65qxFy,,,,remote,unexpected-exit,False,,False,0,False
2021-09-19T12:38:03Z,txarhapocwncdtuoq8fj5cyq0,web_player windows 10;chrome 93.0.4577.82;desktop,5932,AE,2001:8f8:1623:f63:e85c:77b2:f034:ec4e,"Mozilla%2F5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F93.0.4577.82%20Safari%2F537.36",Save Your Tears (with Ariana Grande) (Remix),The Weeknd,Save Your Tears,spotify:track:37BZB0z9T8Xu7U3e65qxFy,,,,remote,endplay,False,,False,0,False
2021-09-19T12:38:03Z,txarhapocwncdtuoq8fj5cyq0,web_player windows 10;chrome 93.0.4577.82;desktop,5932,AE,2001:8f8:1623:f63:e85c:77b2:f034:ec4e,"Mozilla%2F5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F93.0.4577.82%20Safari%2F537.36",Save Your Tears (with Ariana Grande) (Remix),The Weeknd,Save Your Tears,spotify:track:37BZB0z9T8Xu7U3e65qxFy,,,,remote,endplay,False,,False,0,False
2021-09-22T07:58:13Z,txarhapocwncdtuoq8fj5cyq0,web_player windows 10;chrome 93.0.4577.82;desktop,16660,AE,2001:8f8:1623:f63:e85c:77b2:f034:ec4e,"Mozilla%2F5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F93.0.4577.82%20Safari%2F537.36",Sum Clouds,Sum Wave,Sum Clouds,spotify:track:4gn0PQSYvXInswNyw43UWk,,,,clickrow,unexpected-exit-while-paused,False,,False,0,False
2021-09-28T14:43:48Z,txarhapocwncdtuoq8fj5cyq0,web_player windows 10;chrome 94.0.4606.61;desktop,153146,AE,2001:8f8:1623:f8e:d520:435c:a322:103f,"Mozilla%2F5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F94.0.4606.61%20Safari%2F537.36",Sum Clouds,Sum Wave,Sum Clouds,spotify:track:4gn0PQSYvXInswNyw43UWk,,,,remote,endplay,False,,False,0,False
2021-09-28T14:44:26Z,txarhapocwncdtuoq8fj5cyq0,web_player windows 10;chrome 94.0.4606.61;desktop,34951,AE,2001:8f8:1623:f8e:d520:435c:a322:103f,"Mozilla%2F5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F94.0.4606.61%20Safari%2F537.36",Sum Clouds,Sum Wave,Sum Clouds,spotify:track:4gn0PQSYvXInswNyw43UWk,,,,clickrow,trackdone,False,,False,0,False
2021-09-28T14:48:12Z,txarhapocwncdtuoq8fj5cyq0,web_player windows 10;chrome 94.0.4606.61;desktop,167947,AE,2001:8f8:1623:f8e:d520:435c:a322:103f,"Mozilla%2F5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F94.0.4606.61%20Safari%2F537.36",Short Life,Sum Wave,Sum Clouds,spotify:track:2p9Z8nc2A1N1muj9xtxE85,,,,trackdone,trackdone,False,,False,0,False
2021-09-28T14:48:13Z,txarhapocwncdtuoq8fj5cyq0,web_player windows 10;chrome 94.0.4606.61;desktop,167947,AE,2001:8f8:1623:f8e:d520:435c:a322:103f,"Mozilla%2F5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F94.0.4606.61%20Safari%2F537.36",Short Life,Sum Wave,Sum Clouds,spotify:track:2p9Z8nc2A1N1muj9xtxE85,,,,trackdone,trackdone,False,,False,0,False
2021-09-28T14:50:25Z,txarhapocwncdtuoq8fj5cyq0,web_player windows 10;chrome 94.0.4606.61;desktop,133213,AE,2001:8f8:1623:f8e:d520:435c:a322:103f,"Mozilla%2F5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F94.0.4606.61%20Safari%2F537.36",Get Right,Sum Wave,Sum Clouds,spotify:track:2YJMDaBQGTe0D5Cq16Cy09,,,,trackdone,trackdone,False,,False,0,False
2021-09-28T14:51:06Z,txarhapocwncdtuoq8fj5cyq0,web_player windows 10;chrome 94.0.4606.61;desktop,40947,AE,2001:8f8:1623:f8e:d520:435c:a322:103f,"Mozilla%2F5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F94.0.4606.61%20Safari%2F537.36",Soft Grains,Sum Wave,Sum Clouds,spotify:track:21ORZMTpY4ZnYD8ot62tLo,,,,trackdone,endplay,False,,False,0,False
